Models;ModelsNew
Nokia 8910;Nokia 8910
Nokia 8910i;Nokia 8910i
Nokia 9 PureView;Nokia 9
Nokia 9110;Nokia 9110
Nokia 9110i;Nokia 9110i
Nokia 918;Nokia 918
Nokia 9210;Nokia 9210
Nokia 9210i;Nokia 9210i
Nokia 9300;Nokia 9300
Nokia 9300i;Nokia 9300i
Nokia 9500;Nokia 9500
Nokia Asha 200;Nokia Asha 200
Nokia Asha 201;Nokia Asha 201
Nokia Asha 202;Nokia Asha 202
Nokia Asha 203;Nokia Asha 203
Nokia Asha 205;Nokia Asha 205
Nokia Asha 205 Dual SIM;Nokia Asha 205 Dual SIM
Nokia Asha 210;Nokia Asha 210
Nokia Asha 210 Dual SIM;Nokia Asha 210 Dual SIM
OPPO A1k;OPPO A1k
OPPO A5 (2020);OPPO A5 (2020)
OPPO A5s;OPPO A5s
Nokia Asha 300;Nokia Asha 300
Nokia Asha 302;Nokia Asha 302
OPPO A9 (2020);OPPO A9 (2020)
Nokia Asha 305;Nokia Asha 305/306
Nokia Asha 308;Nokia Asha 308/309/310
Nokia Asha 500;Nokia Asha 500
Nokia Asha 500 Dual SIM;Nokia Asha 500 Dual SIM
Nokia Asha 501 Dual SIM;Nokia Asha 501 Dual SIM
OPPO Realme 3 Pro;OPPO Realme 3 Pro
Nokia Asha 502 Dual SIM;Nokia Asha 502
OPPO Realme 5;OPPO Realme 5
OPPO Realme 5 Pro;OPPO Realme 5 Pro
Nokia Asha 503 Dual SIM;Nokia Asha 503 Dual SIM
OPPO Realme C2;OPPO Realme C2
Nokia Astound;Nokia Astound
Nokia C1;Nokia C1
Nokia C1-00;Nokia C1-00
Nokia C1-01;Nokia C1-01
Nokia C1-02;Nokia C1-02
OPPO Realme X2 Pro;OPPO Realme X2 Pro
Nokia C2;Nokia C2
Nokia C2 Tava;Nokia C2 Tava
Nokia C2 Tennen;Nokia C2 Tennen
OPPO Reno 2;OPPO Reno 2
Nokia C2-00;Nokia C2-00
Nokia C2-01;Nokia C2-01
Nokia C2-02;Nokia C2-02
Nokia C2-05;Nokia C2-05
OPPO Reno Standart;OPPO Reno Standart
Nokia C2-06;Nokia C2-06
Nokia C3;Nokia C3
Nokia C3 2010;Nokia C3 2010
Nokia C3-01 Gold Edition;Nokia C3-01 Gold Edition
Nokia C3-01 Touch and Type;Nokia C3-01 Touch and Type
Nokia C5;Nokia C5
Nokia C5 5MP;Nokia C5 5MP
Nokia C5 Endi;Nokia C5 Endi
OPPO A3s;OPPO A3s
Nokia C5-03;Nokia C5-03
Nokia C5-05;Nokia C5-05
Nokia C5-06;Nokia C5-06
Nokia C6;Nokia C6
Nokia C6-01;Nokia C6-01
Nokia Card Phone 2.0;Nokia Card Phone 2.0
Nokia E5;Nokia E5
Nokia E50;Nokia E50
Nokia E51;Nokia E51
Nokia E52;Nokia E52
OPPO F7;OPPO F7
Nokia E55;Nokia E55
OPPO F9;OPPO F9
Nokia E6;Nokia E6
Nokia E60;Nokia E60
OPPO Find X;OPPO Find X
Nokia E61;Nokia E61
Nokia E61i;Nokia E61i
OPPO R15;OPPO R15
Nokia E62;Nokia E62
Nokia E63;Nokia E63
OPPO R17;OPPO R17
Nokia E65;Nokia E65
Nokia E66;Nokia E66
OPPO RX17 Neo;OPPO RX17 Neo
OPPO RX17 Pro;OPPO RX17 Pro
Nokia E70;Nokia E70
OPPO Realme 2;OPPO Realme 2
OPPO Realme 2 Pro;OPPO Realme 2 Pro
Nokia E71;Nokia E71
Nokia E72;Nokia E72
OPPO A71;OPPO A71
Nokia E73 Mode;Nokia E73 Mode
Nokia E75;Nokia E75
Nokia E90 Communicator;Nokia E90 Communicator
OPPO A83;OPPO A83
OPPO F3;OPPO F3
OPPO F3 Plus;OPPO F3 Plus
OPPO F5;OPPO F5
Nokia Lumia 1020;Nokia Lumia 1020/RM-875, RM-877, RM-876
Nokia Lumia 520;Nokia Lumia 520/525
Nokia Lumia 521 T-Mobile;Nokia Lumia 521 T-Mobile
OPPO R11s;OPPO R11s
OPPO R11s Plus;OPPO R11s Plus
Nokia Lumia 525;Nokia Lumia 525
Nokia Lumia 530;Nokia Lumia 530/RM-1018/RM-1020
Nokia Lumia 630;Nokia Lumia 630/Dual SIM/635/638
Nokia Lumia 635;Nokia Lumia 635
Nokia Lumia 636638;Microsoft Lumia 636
Nokia Lumia 710;Nokia Lumia 710
Nokia Lumia 730 Dual Sim;Nokia Lumia 730/735
Nokia Lumia 810 T-Mobile;Nokia Lumia 810 T-Mobile
Nokia Lumia 822 CDMA;Nokia Lumia 822 CDMA
Nokia Lumia 900;Nokia Lumia 900
Nokia Lumia 900 LTE;Nokia Lumia 900 LTE
Nokia Lumia 930;Nokia Lumia 929/930/Nokia Lumia Icon
Nokia Lumia Icon;Nokia Lumia Icon
Nokia N70;Nokia N70
Nokia N70 Music Edition;Nokia N70 Music Edition
Nokia N71;Nokia N71
Nokia N72;Nokia N72
Nokia N73;Nokia N73
Nokia N73 Music Edition;Nokia N73 Music Edition
Nokia N75;Nokia N75
Nokia N76;Nokia N76
Nokia N77;Nokia N77
Nokia N78;Nokia N78
Nokia N79;Nokia N79
Nokia N8;Nokia N8/N8-00
Nokia N80;Nokia N80
Nokia N81;Nokia N81
Nokia N81 8GB;Nokia N81 8GB
Nokia N82;Nokia N82
Nokia N85;Nokia N85
Nokia N86 8MP;Nokia N86 8MP
Nokia N9;Nokia N9/N9-00
Nokia N90;Nokia N90
Nokia N900;Nokia N900
Nokia N91;Nokia N91
Nokia N92;Nokia N92
Nokia N93;Nokia N93
Nokia N93i;Nokia N93i
Nokia N95;Nokia N95
Nokia N95 8GB;Nokia N95 8GB
Nokia N950;Nokia N950
Nokia N96;Nokia N96
OPPO N1;OPPO N1
Nokia N97;Nokia N97
Nokia N97 mini;Nokia N97 mini
Nokia N-Gage;Nokia N-Gage
Nokia N-Gage QD;Nokia N-Gage QD
Nokia Oro;Nokia Oro
Nokia T7;Nokia T7
Nokia X+;Nokia X/X+/RM-980
Nokia X1-00;Nokia X1-00
Nokia X1-01;Nokia X1-01
Nokia X2;Nokia X2 Dual SIM/RM-1013
Nokia X2-00;Nokia X2-00
Nokia X2-01;Nokia X2-01
Nokia X2-02;Nokia X2-02
Nokia X2-05;Nokia X2-05
Nokia X3;Nokia X3
Nokia X3 Touch and Type;Nokia X3 Touch and Type
Nokia X5-01;Nokia X5-01
Nokia X6 (2016) 32GB;Nokia X6 2018
Nokia X7 (2011);Nokia X7 (2011)
Nokia X71;Nokia X71
OnePlus 2;OnePlus 2/OnePlus Two/ONE A2001
OnePlus 3;OnePlus 3/3T/A3000
OnePlus 3T;OnePlus 3T
OnePlus 5;OnePlus 5/A5000
OnePlus 6;OnePlus 6 (2018)
OnePlus 6T;OnePlus 6T (2018)
OnePlus 7;OnePlus 7 (2019)
OnePlus 7 Pro;OnePlus 7 Pro (2019)
OnePlus 7 Pro 5G;OnePlus 7 Pro 5G
OnePlus 7T;OnePlus 7T
OnePlus 7T Pro;OnePlus 7T Pro
OnePlus 7T Pro 5G McLaren Edition;OnePlus 7T Pro 5G McLaren Edition
OnePlus 8;OnePlus 8
OnePlus 8 Pro;OnePlus 8 Pro
OnePlus Concept One;OnePlus Concept One
OnePlus Nord;OnePlus Nord
OnePlus One;OnePlus One/A0001
Oppo 3000;Oppo 3000
OPPO A1;OPPO A1
OPPO A11;OPPO A11
OPPO A11K;OPPO A11K
OPPO A11x;OPPO A11x
OPPO A12;OPPO A12
OPPO A12e;OPPO A12e
OPPO A3;OPPO A3
OPPO A30;OPPO A30
OPPO A31;OPPO A31
Oppo A31 2015;Oppo A31 2015
OPPO A33;OPPO A33
OPPO A37;OPPO A37
OPPO A39;OPPO A39
OPPO A5 (Китай);OPPO A5
OPPO A5 Global;OPPO A5 Global
OPPO A51;OPPO A51
OPPO A53;OPPO A53
Oukitel Mix 2;Oukitel Mix 2
OPPO A53 2015;OPPO A53 2015
OPPO A59;OPPO A59
OPPO A59s;OPPO A59s
OPPO A7;OPPO A7
OPPO A71 (2018);OPPO A71 (2018)
OPPO A72 4G;OPPO A72 4G
OPPO A72 5G;OPPO A72 5G
OPPO A73s;OPPO A73s
OPPO A75;OPPO A75
OPPO A77;OPPO A77
OPPO A79;OPPO A79
OPPO A7n;OPPO A7n
OPPO A7x;OPPO A7x
OPPO A8;OPPO A8
OPPO A83 (2018);OPPO A83 (2018)
OPPO A9 Китай;OPPO A9
OPPO A91;OPPO A91
OPPO A92;OPPO A92
OPPO A9x;OPPO A9x
OPPO Ace2;OPPO Ace2
OPPO Ace2 EVA Limited Edition;OPPO Ace2 EVA Limited Edition
OPPO AX5;OPPO AX5
OPPO AX5s;OPPO AX5s
OPPO AX7;OPPO AX7
OPPO AX7 Pro;OPPO AX7 Pro
OPPO Clover R815;OPPO R815/R833
Oysters Angarsk;Oysters Angarsk
Oysters Atlantic 4G;Oysters Atlantic 4G
Oysters Istra;Oysters Istra
Oysters Life 4G;Oysters Life 4G
Oysters Pacific XL 4G;Oysters Pacific XL 4G
Oysters Samara;Oysters Samara
Oysters Antarctic E;Oysters Antarctic E
Oysters Atlantic V;Oysters Atlantic V
Oysters Indian V;Oysters Indian V
Oysters Irkutsk;Oysters Irkutsk
Oysters Novgorod;Oysters Novgorod
Oysters Omsk;Oysters Omsk
Oysters Pacific 4G;Oysters Pacific 4G
Oysters Pacific E;Oysters Pacific E
Oysters Pacific I 4G;Oysters Pacific I 4G
Oysters Pacific V;Oysters Pacific V
Oysters Pacific VS;Oysters Pacific VS
Oysters Respect;Oysters Respect
Oysters SF;Oysters SF
Oysters Saratov;Oysters Saratov
Oysters Ulan-Ude;Oysters Ulan-Ude
Oysters Arctic 450;Oysters Arctic 450
Oysters Atlantic 454;Oysters Atlantic 454
Oysters Atlantic 600i;Oysters Atlantic 600i
Oysters Indian 254;Oysters Indian 254
Oysters Kursk;Oysters Kursk
Oysters Lipetsk;Oysters Lipetsk
Oysters Pacific 454;Oysters Pacific 454
Oysters Sochi;Oysters Sochi
Oysters Ufa;Oysters Ufa
Oysters Yalta;Oysters Yalta
Oysters Arctic 350;Oysters Arctic 350
Oysters Arctic 200;Oysters Arctic 200
Oysters Atlantic 600;Oysters Atlantic 600
Oysters Indian 400;Oysters Indian 400
Oysters Pacific 800;Oysters Pacific 800
Palm Phone;Palm Phone
Palm Pixi Plus;Palm Pixi Plus
Palm Pixi Plus CDMA;Palm Pixi Plus CDMA
Palm Pre 2;Palm Pre 2
Palm Pre 2 CDMA;Palm Pre 2 CDMA
Palm Pre Plus;Palm Pre Plus
Palm Pre Plus CDMA;Palm Pre Plus CDMA
Palm Pixi;Palm Pixi
Palm Pre;Palm Pre
Palm Pre CDMA;Palm Pre CDMA
Palm Centro;Palm Centro
Palm Treo Pro;Palm Treo Pro
Palm Treo 500;Palm Treo 500
Palm Treo 750;Palm Treo 750
Palm Treo 680;Palm Treo 680
Palm Treo 700w;Palm Treo 700w
Palm Treo 750v;Palm Treo 750v
Palm Treo 650;Palm Treo 650
Panasonic KX-TU110;Panasonic KX-TU110
Panasonic KX-TU456;Panasonic KX-TU456
Panasonic Eluga I6;Panasonic Eluga I6
Panasonic Eluga Ray 610;Panasonic Eluga Ray 610
Panasonic Eluga Ray 800;Panasonic Eluga Ray 800
Panasonic Eluga Ray 810;Panasonic Eluga Ray 810
Panasonic Eluga U3;Panasonic Eluga U3
Panasonic KX-TU466;Panasonic KX-TU466
Panasonic P110;Panasonic P110
Panasonic Eluga I7;Panasonic Eluga I7
Panasonic Eluga Ray 530;Panasonic Eluga Ray 530
Panasonic Eluga Ray 550;Panasonic Eluga Ray 550
Panasonic Eluga Ray 600;Panasonic Eluga Ray 600
Panasonic Eluga X1  X1 Pro;Panasonic Eluga X1  X1 Pro
Panasonic Eluga Y;Panasonic Eluga Y
Panasonic Eluga Y Pro;Panasonic Eluga Y Pro
Panasonic Eluga Z1  Z1 Pro;Panasonic Eluga Z1  Z1 Pro
Panasonic KX-TU150;Panasonic KX-TU150
Panasonic P100;Panasonic P100
Panasonic P101;Panasonic P101
Panasonic P85 Nxt;Panasonic P85 Nxt
Panasonic P90;Panasonic P90
Panasonic P95;Panasonic P95
Panasonic Toughbook FZ-N1 США;Panasonic Toughbook FZ-N1
Panasonic Toughbook FZ-T1;Panasonic Toughbook FZ-T1
Panasonic Toughbook P-01K;Panasonic Toughbook P-01K
Panasonic Eluga A3;Panasonic Eluga A3
Panasonic Eluga A3 Pro;Panasonic Eluga A3 Pro
Panasonic Eluga A4;Panasonic Eluga A4
Panasonic Eluga C;Panasonic Eluga C
Panasonic Eluga I2 Activ;Panasonic Eluga I2 Activ
Panasonic Eluga I3 Mega;Panasonic Eluga I3 Mega
Panasonic Eluga I4;Panasonic Eluga I4
Panasonic Eluga I5;Panasonic Eluga I5
Panasonic Eluga I9;Panasonic Eluga I9
Panasonic Eluga Pulse;Panasonic Eluga Pulse
Panasonic Eluga Pulse X;Panasonic Eluga Pulse X
Panasonic Eluga Pure;Panasonic Eluga Pure
Panasonic Eluga Ray;Panasonic Eluga Ray
Panasonic Eluga Ray 500;Panasonic Eluga Ray 500
Panasonic Eluga Ray 700;Panasonic Eluga Ray 700
Panasonic Eluga Ray Max;Panasonic Eluga Ray Max
Panasonic Eluga Ray X;Panasonic Eluga Ray X
Panasonic P55 Max;Panasonic P55 Max
Panasonic P85;Panasonic P85
Panasonic P9;Panasonic P9
Panasonic P91;Panasonic P91
Panasonic P99;Panasonic P99
Panasonic Eluga A2;Panasonic Eluga A2
Panasonic Eluga Arc;Panasonic Eluga Arc
Panasonic Eluga Arc 2;Panasonic Eluga Arc 2
Panasonic Eluga I2 (2016);Panasonic Eluga I2 (2016)
Panasonic Eluga I3;Panasonic Eluga I3
Panasonic Eluga Mark 2;Panasonic Eluga Mark 2
Panasonic Eluga Note;Panasonic Eluga Note
Panasonic Eluga Prim;Panasonic Eluga Prim
Panasonic Eluga Tapp;Panasonic Eluga Tapp
Panasonic P66 Mega;Panasonic P66 Mega
Panasonic P71;Panasonic P71
Panasonic P75;Panasonic P75
Panasonic P77;Panasonic P77
Panasonic P88;Panasonic P88
Panasonic T44 Lite;Panasonic T44 Lite
Panasonic Toughpad FZ-F1;Panasonic Toughpad FZ-F1
Panasonic Toughpad FZ-N1;Panasonic Toughpad FZ-N1
Panasonic Eluga I2;Panasonic Eluga I2
Panasonic Eluga Icon;Panasonic Eluga Icon
Panasonic Eluga L 4G;Panasonic Eluga L 4G
Panasonic Eluga L2;Panasonic Eluga L2
Panasonic Eluga Mark;Panasonic Eluga Mark
Panasonic Eluga S Mini;Panasonic Eluga S Mini
Panasonic Eluga Switch;Panasonic Eluga Switch
Panasonic Eluga Turbo;Panasonic Eluga Turbo
Panasonic Eluga U2;Panasonic Eluga U2
Panasonic Eluga Z;Panasonic Eluga Z
Panasonic Love T10;Panasonic Love T10
Panasonic P50 Idol;Panasonic P50 Idol
Panasonic P55 Novo;Panasonic P55 Novo
Panasonic P65 Flash;Panasonic P65 Flash
Panasonic T33;Panasonic T33
Panasonic T45 4G;Panasonic T45 4G
Panasonic Eluga A;Panasonic Eluga A
Panasonic Eluga S;Panasonic Eluga S
Panasonic Eluga U;Panasonic Eluga U
Panasonic FZ-E1;Panasonic FZ-E1
Panasonic FZ-X1;Panasonic FZ-X1
Panasonic Lumix Smart Camera CM1;Panasonic Lumix Smart Camera CM1
Panasonic P81;Panasonic P81
Panasonic Toughpad FZ-E1;Panasonic Toughpad FZ-E1
Panasonic Toughpad FZ-X1;Panasonic Toughpad FZ-X1
Panasonic P11;Panasonic P11
Panasonic P51;Panasonic P51
Panasonic Eluga;Panasonic Eluga
Panasonic Eluga Power;Panasonic Eluga Power
Panasonic KX-TU301;Panasonic KX-TU301
Panasonic MX6;Panasonic MX6
Panasonic SA6;Panasonic SA6
Panasonic SA7;Panasonic SA7
Panasonic SC3;Panasonic SC3
Panasonic VS2;Panasonic VS2
Panasonic VS3;Panasonic VS3
Panasonic VS7;Panasonic VS7
Panasonic X100;Panasonic X100
Panasonic X800;Panasonic X800
Panasonic A100;Panasonic A100
Panasonic A101;Panasonic A101
Panasonic A102;Panasonic A102
Panasonic A200;Panasonic A200
Panasonic A500;Panasonic A500
Panasonic G70;Panasonic G70
Panasonic P900i;Panasonic P900i
Panasonic X11;Panasonic X11
Panasonic X200;Panasonic X200
Panasonic X300;Panasonic X300
Panasonic X400;Panasonic X400
Panasonic X500;Panasonic X500
Panasonic X60;Panasonic X60
Panasonic X700;Panasonic X700
Panasonic X77;Panasonic X77
Panasonic G50;Panasonic G50
Panasonic G51e;Panasonic G51e
Panasonic G51m;Panasonic G51m
Panasonic G60;Panasonic G60
Panasonic X70;Panasonic X70
Panasonic GD55;Panasonic GD55
Panasonic GD67;Panasonic GD67
Panasonic GD68;Panasonic GD68
Panasonic GD87;Panasonic GD87
Panasonic GD35;Panasonic GD35
Panasonic GD75;Panasonic GD75
Panasonic GD76;Panasonic GD76
Panasonic GD95;Panasonic GD95
Panasonic GD96;Panasonic GD96
Panasonic GD52;Panasonic GD52
Panasonic GD92;Panasonic GD92
Panasonic GD93;Panasonic GD93
Panasonic TX210;Panasonic TX210
Panasonic TX220;Panasonic TX220
Panasonic TX310;Panasonic TX310
Panasonic TX320;Panasonic TX320
Panasonic G450;Panasonic G450
Panasonic G520;Panasonic G520
Panasonic GD30;Panasonic GD30
Panasonic GD50;Panasonic GD50
Panasonic GD70;Panasonic GD70
Panasonic GD90;Panasonic GD90
Phicomm Energy 4S;Phicomm Energy 4S
Phicomm 6Plus (C1230L);Phicomm 6Plus (C1230L)
Phicomm 6S (C1530L);Phicomm 6S (C1530L)
Phicomm Energy 2;Phicomm Energy 2
Phicomm Passion 2S;Phicomm Passion 2S
Phicomm Clue 630 (Clue L);Phicomm Clue 630 (Clue L)
Phicomm Energy 653 (Energy L);Phicomm Energy 653 (Energy L)
OPPO F1;OPPO F1
OPPO F1 Plus (R9);OPPO R9
OPPO F11;OPPO F11
OPPO F11 Pro;OPPO F11 Pro
OPPO F15;OPPO F15
OPPO F17 Pro;OPPO F17 Pro
OPPO F1s;OPPO F1s
OPPO F3 Lite (A57);OPPO F3 Lite (A57)
OPPO F5 Youth (A73);OPPO F5 Youth (A73)
OPPO F7 Youth;OPPO F7 Youth
OPPO F9 Pro (Индия);OPPO F9 Pro
OPPO Find 5 X909;OPPO X909
Oppo Find 7;Oppo Find 7
Philips S561;Philips S561
OPPO Find Way S (U707);OPPO Find Way S (U707)
OPPO Find X Lamborghini;OPPO Find X Lamborghini
OPPO Find X2;OPPO Find X2
OPPO Find X2 Lite;OPPO Find X2 Lite
OPPO Find X2 Neo;OPPO Find X2 Neo
OPPO Find X2 Pro;OPPO Find X2 Pro
OPPO Find X2 Pro Lamborghini;OPPO Find X2 Pro Lamborghini
OPPO Finder X907;OPPO Finder X907
OPPO Joy 3;OPPO Joy 3
Oppo Joy Plus;Oppo Joy Plus
OPPO K1;OPPO K1
OPPO K3;OPPO K3
OPPO K5;OPPO K5
OPPO K7 5G;OPPO K7 5G
OPPO Mirror 3;OPPO Mirror 3
OPPO Mirror 5;OPPO Mirror 5
OPPO Mirror 5s;OPPO Mirror 5s
OPPO Mirror R819;OPPO R819
OPPO Muse R821;OPPO R821
OPPO N1 mini;OPPO N1 mini
Oppo N3;Oppo N3
OPPO Neo;OPPO Neo
OPPO Neo 5;OPPO Neo 5
OPPO Neo 5 (2016);OPPO Neo 5 (2016)
OPPO Neo 5s;OPPO Neo 5s
OPPO Neo 7;OPPO Neo 7
OPPO R1 (R829T);OPPO R1 (R829T)
OPPO R11;OPPO R11
OPPO R11 Plus;OPPO R11 Plus
Philips S326;Philips S326
OPPO R15 Pro (Dream Mirror);OPPO R15 Pro (Dream Mirror)
OPPO R15x;OPPO R15x
Philips X586;Philips X586
OPPO R17 Neo;OPPO R17 Neo
OPPO R17 Pro;OPPO R17 Pro
Oppo R1S;Oppo R1S
Philips S307;Philips S307
Philips S309;Philips S309
Philips S337;Philips S337
Philips S396;Philips S396
Philips S616;Philips S616
Oppo R1x (R1C);Oppo R1x (R1C)
Oppo R5;Oppo R5
OPPO R5s;OPPO R5s
OPPO R7;OPPO R7
OPPO R7 Lite;OPPO R7 Lite
OPPO R7 Plus;OPPO R7 Plus
OPPO R7s;OPPO R7s
OPPO R9 Plus;OPPO R9 Plus
Philips I928;Philips I928
OPPO R9S;OPPO R9S
Philips S388;Philips S388
Philips S398;Philips S398
OPPO R9S Plus;OPPO R9S Plus
OPPO Realme 1;OPPO Realme 1
OPPO Realme 3;OPPO Realme 3
OPPO Realme 3i;OPPO Realme 3i
OPPO Realme 5i;OPPO Realme 5i
OPPO Realme 5s;OPPO Realme 5s
OPPO Realme 6;OPPO Realme 6
OPPO Realme 6 Pro;Realmi 6 Pro
OPPO Realme 6i Global;OPPO Realme 6i
OPPO Realme 6s;OPPO Realme 6s
OPPO Realme 7;OPPO Realme 7
OPPO Realme 7 Pro;OPPO Realme 7 Pro
OPPO Realme C1;OPPO Realme C1
OPPO Realme C11;OPPO Realme C11
OPPO Realme C12;OPPO Realme C12
OPPO Realme C15;OPPO Realme C15
OPPO Realme C2s;OPPO Realme C2s
OPPO Realme C3 Global;OPPO Realme C3
OPPO Realme C3i;OPPO Realme C3i
OPPO Realme Narzo;OPPO Realme Narzo
OPPO Realme Narzo 10;OPPO Realme Narzo 10
OPPO Realme Narzo 10A;OPPO Realme Narzo 10A
Philips W536;Philips W536
OPPO Realme Q;OPPO Realme Q
OPPO Realme U1;OPPO Realme U1
OPPO Realme V3 5G;OPPO Realme V3 5G
OPPO Realme V5 5G;OPPO Realme V5 5G
OPPO Realme X;OPPO Realme X
OPPO Realme X Lite (Youth Edition);OPPO Realme X Lite (Youth Edition)
OPPO Realme X Master Edition;OPPO Realme X Master Edition
OPPO Realme X2;OPPO Realme X2
OPPO Realme X2 Pro Master Edition;Realme X2 Pro
OPPO Realme X3;OPPO Realme X3
OPPO Realme X3 SuperZoom;OPPO Realme X3 SuperZoom
OPPO Realme X50 5G Master Edition;OPPO Realme X50 5G Master Edition
OPPO Realme X50 5G Китай;OPPO Realme X50 5G
OPPO Realme X50 Pro 5G;OPPO Realme X50 Pro 5G
Philips W626;Philips W626
OPPO Realme X50m 5G;OPPO Realme X50m 5G
OPPO Realme X50t 5G;OPPO Realme X50t 5G
OPPO Realme X7;OPPO Realme X7
OPPO Realme X7 pro;OPPO Realme X7 pro
OPPO Realme XT;Realme XT
OPPO Reno 10x Zoom;OPPO Reno 10x Zoom
OPPO Reno 3 Vitality;OPPO Reno 3 Vitality
OPPO Reno 5G;OPPO Reno 5G
OPPO Reno Ace;OPPO Reno Ace
OPPO Reno FC Barcelona Edition;OPPO Reno FC Barcelona Edition
OPPO Reno Pro;OPPO Reno Pro
OPPO Reno Z;OPPO Reno Z
OPPO Reno2 F;OPPO Reno2 F
OPPO Reno2 Z;OPPO Reno2 Z
OPPO Reno3 A;OPPO Reno3 A
OPPO Reno3 Pro Китай;OPPO Reno3 Pro
OPPO Reno3 Pro Россия;OPPO Reno3 Pro Россия
OPPO Reno3 Китай;OPPO Reno3
OPPO Reno4 Global (4G);OPPO Reno4 Global (4G)
OPPO Reno4 Pro (5G) Artist Limited Edition;OPPO Reno4 Pro (5G) Artist Limited Edition
OPPO Reno4 Pro Global (4G);OPPO Reno4 Pro Global (4G)
OPPO Reno4 Pro Китай (5G);OPPO Reno4 Pro
OPPO Reno4 Китай (5G);OPPO Reno4
Oppo U3;Oppo U3
Oukitel C10;Oukitel C10
Oukitel C10 Pro;Oukitel C10 Pro
Oukitel C11;Oukitel C11
Oukitel C11 Pro;Oukitel C11 Pro
Oukitel C12;Oukitel C12
Oukitel C12 Plus;Oukitel C12 Plus
Oukitel C12 Pro;Oukitel C12 Pro
Oukitel C13 Pro;Oukitel C13 Pro
Oukitel C15 Pro (Pro+);Oukitel C15 Pro (Pro+)
Oukitel C16;Oukitel C16
Oukitel C16 Pro;Oukitel C16 Pro
Oukitel C17 Pro;Oukitel C17 Pro
Oukitel C18 Pro;Oukitel C18 Pro
Oukitel C19;Oukitel C19
Oukitel C2;Oukitel C2
Oukitel C21;Oukitel C21
Oukitel C3;Oukitel C3
Oukitel C4;Oukitel C4
Oukitel C5;Oukitel C5
Oukitel C5 Pro;Oukitel C5 Pro
Oukitel C8 3G;Oukitel C8 3G
Oukitel C8 4G;Oukitel C8 4G
Oukitel C9;Oukitel C9
Oukitel K10;Oukitel K10
Oukitel K10000;Oukitel K10000
Oukitel K10000 Max;Oukitel K10000 Max
Oukitel K10000 Mix;Oukitel K10000 Mix
Oukitel K10000 Pro;Oukitel K10000 Pro
Oukitel K12;Oukitel K12
Oukitel K13 Pro;Oukitel K13 Pro
Oukitel K3;Oukitel K3
Oukitel K3 Pro;Oukitel K3 Pro
Oukitel K4000;Oukitel K4000
Oukitel K4000 Lite;Oukitel K4000 Lite
Oukitel K4000 Plus;Oukitel K4000 Plus
Oukitel K4000 Pro;Oukitel K4000 Pro
Oukitel K5;Oukitel K5
Oukitel K5000;Oukitel 5000
Oukitel K6;Oukitel K6
Oukitel K6000;Oukitel K6000
Oukitel K6000 Plus (OK6000 Plus);Oukitel K6000 Plus (OK6000 Plus)
Oukitel K6000 Premium;Oukitel K6000 Premium
Oukitel K6000 Pro;Oukitel K6000 Pro
Oukitel K7;Oukitel K7
Oukitel K7 Power;Oukitel K7 Power
Oukitel K7 Pro;Oukitel K7 Pro
Oukitel K7000;Oukitel K7000
Oukitel K8;Oukitel K8
Oukitel K8000;Oukitel K8000
Oukitel K9;Oukitel K9
Oukitel U10;Oukitel U10
Oukitel U11 Plus;Oukitel U11 Plus
Oukitel U13;Oukitel U13
Oukitel U15 Pro;Oukitel U15 Pro
Oukitel U15S;Oukitel U15S
Oukitel U16 Max;Oukitel U16 Max
Oukitel U17;Oukitel U17
Oukitel U18;Oukitel U18
Oukitel U2;Oukitel U2
Oukitel U20 Plus;Oukitel U20 Plus
Oukitel U22;Oukitel U22
Oukitel U23;Oukitel U23
Oukitel U25 Pro;Oukitel U25 Pro
Oukitel U6;Oukitel U6
Oukitel U7 Max;Oukitel U7 Max
Oukitel U7 Plus;Oukitel U7 Plus
Oukitel U7 Pro;Oukitel U7 Pro
Oukitel U8;Oukitel U8
Oukitel WP1;Oukitel WP1
Oukitel WP2;Oukitel WP2
Oukitel WP3;Oukitel WP3
Oukitel WP5;Oukitel WP5
Oukitel WP5 Pro;Oukitel WP5 Pro
Oukitel WP5000;Oukitel WP5000
Oukitel WP6;Oukitel WP6
Oukitel WP7;Oukitel WP7
Oukitel WP8 Pro;Oukitel WP8 Pro
Oukitel Y1000;Oukitel Y1000
Oukitel Y1000 Pro;Oukitel Y1000 Pro
Oukitel Y4800;Oukitel Y4800
Oukitel Y5000;Oukitel Y5000
Philips 160;Philips 160
Philips 162;Philips 162
Philips 180;Philips 180
Philips 191;Philips 191
Philips 192;Philips 192
Philips 193;Philips 193
Philips 198;Philips 198
Philips 199;Philips 199
Philips 290;Philips 290
Philips 292;Philips 292
Philips 298;Philips 298
Philips 350;Philips 350
Philips 355;Philips 355
Philips 362;Philips 362
Philips 390;Philips 390
Philips 530;Philips 530
Philips 535;Philips 535
Philips 550;Philips 550
Philips 568;Philips 568
Philips 580;Philips 580
Philips 588;Philips 588
Philips 598;Philips 598
Philips 636;Philips 636
Philips 639;Philips 639
Philips 650;Philips 650
Philips 655;Philips 655
Philips 659;Philips 659
Philips 699 Dual SIM;Philips 699 Dual SIM
Philips 755;Philips 755
Philips 759;Philips 759
Philips 760;Philips 760
Philips 768;Philips 768
Philips 855;Philips 855
Philips 859;Philips 859
Philips 960;Philips 960
Philips Aeon;Philips Aeon
